name,Snippet,description,longitude,latitude,altitude
Butyrskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Butyrskaya_%28Moscow_Metro%29"">Butyrskaya (Moscow Metro)</a>",37.602328,55.813577,0
Chekhovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Chekhovskaya"">Chekhovskaya</a>",37.6097,55.7644,0
Cherkizovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Cherkizovskaya"">Cherkizovskaya</a>",37.7448,55.8038,0
Chertanovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Chertanovskaya"">Chertanovskaya</a>",37.6067,55.6405,0
Chistye Prudy (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Chistye_Prudy_%28Moscow_Metro%29"">Chistye Prudy (Moscow Metro)</a>",37.6388,55.7657,0
Chkalovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Chkalovskaya_%28Moscow_Metro%29"">Chkalovskaya (Moscow Metro)</a>",37.6573,55.7565,0
Delovoy Tsentr (Bolshaya Koltsevaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Delovoy_Tsentr_%28Bolshaya_Koltsevaya_line%29"">Delovoy Tsentr (Bolshaya Koltsevaya line)</a>",37.5391,55.7489,0
Delovoy Tsentr (Kalininsko–Solntsevskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Delovoy_Tsentr_%28Kalininsko%E2%80%93Solntsevskaya_line%29"">Delovoy Tsentr (Kalininsko–Solntsevskaya line)</a>",37.5395,55.7491,0
Delovoy Tsentr (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Delovoy_Tsentr_%28Moscow_Central_Circle%29"">Delovoy Tsentr (Moscow Central Circle)</a>",37.532,55.7476,0
Dinamo (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Dinamo_%28Moscow_Metro%29"">Dinamo (Moscow Metro)</a>",37.558,55.7897,0
Dmitrovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Dmitrovskaya_%28Moscow_Metro%29"">Dmitrovskaya (Moscow Metro)</a>",37.5817,55.8069,0
Dobryninskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Dobryninskaya"">Dobryninskaya</a>",37.6243,55.7291,0
Domodedovskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Domodedovskaya"">Domodedovskaya</a>",37.7186,55.6108,0
Dostoevskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Dostoevskaya_%28Moscow_Metro%29"">Dostoevskaya (Moscow Metro)</a>",37.6151,55.7816,0
Dubrovka (Lyublinsko–Dmitrovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Dubrovka_%28Lyublinsko%E2%80%93Dmitrovskaya_line%29"">Dubrovka (Lyublinsko–Dmitrovskaya line)</a>",37.676,55.7186,0
Dubrovka (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Dubrovka_%28Moscow_Central_Circle%29"">Dubrovka (Moscow Central Circle)</a>",37.6781,55.7127,0
Elektrozavodskaya (Arbatsko–Pokrovskaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Elektrozavodskaya_%28Arbatsko%E2%80%93Pokrovskaya_line%29"">Elektrozavodskaya (Arbatsko–Pokrovskaya line)</a>",37.7037,55.7817,0
Elektrozavodskaya (Bolshaya Koltsevaya line),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Elektrozavodskaya_%28Bolshaya_Koltsevaya_line%29"">Elektrozavodskaya (Bolshaya Koltsevaya line)</a>",37.702777,55.780833,0
Filatov Lug (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Filatov_Lug_%28Moscow_Metro%29"">Filatov Lug (Moscow Metro)</a>",37.4077,55.6013,0
Fili (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Fili_%28Moscow_Metro%29"">Fili (Moscow Metro)</a>",37.515,55.746,0
Filyovsky Park (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Filyovsky_Park_%28Moscow_Metro%29"">Filyovsky Park (Moscow Metro)</a>",37.4833,55.7396,0
Fonvizinskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Fonvizinskaya_%28Moscow_Metro%29"">Fonvizinskaya (Moscow Metro)</a>",37.589967,55.821512,0
Frunzenskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Frunzenskaya_%28Moscow_Metro%29"">Frunzenskaya (Moscow Metro)</a>",37.5786,55.7267,0
Govorovo,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Govorovo"">Govorovo</a>",37.417392,55.659531,0
Izmaylovo (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Izmaylovo_%28Moscow_Central_Circle%29"">Izmaylovo (Moscow Central Circle)</a>",37.7434,55.7896,0
Izmaylovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Izmaylovskaya_%28Moscow_Metro%29"">Izmaylovskaya (Moscow Metro)</a>",37.7814,55.7878,0
Kakhovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kakhovskaya_%28Moscow_Metro%29"">Kakhovskaya (Moscow Metro)</a>",37.5983,55.653,0
Kaluzhskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kaluzhskaya_%28Moscow_Metro%29"">Kaluzhskaya (Moscow Metro)</a>",37.5405,55.6571,0
Kaluzhskaya (closed),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kaluzhskaya_%28closed%29"">Kaluzhskaya (closed)</a>",37.5455,55.6584,0
Kantemirovskaya (Moscow Metro),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kantemirovskaya_%28Moscow_Metro%29"">Kantemirovskaya (Moscow Metro)</a>",37.6564,55.6358,0
Kashirskaya,,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Kashirskaya"">Kashirskaya</a>",37.6487,55.6551,0
Khoroshyovo (Moscow Central Circle),,"<br>Source: Wikipedia article <a href=""https://en.wikipedia.org/wiki/Khoroshyovo_%28Moscow_Central_Circle%29"">Khoroshyovo (Moscow Central Circle)</a>",37.5071,55.7773,0
